Partner University (PU),PU Module Code,PU Module Title,PU Module Credits,NUS Module Cod,NUS Module Credits
Monash University,MIC3990,Action in Microbiology Research Project,6,LSM3991,4
Monash University,PHA3011,Principles of drug action,6,LSM3211,4
Monash University,PHY2011,"Neuroscience of Communication, Sensory and Control Systems",6,LSM3215,4
Monash University,PHY3171,Clinical & Experimental Cardiovascular Physiology,6,LSM3212,4
National Cheng Kung University,A961601,Aquaculture and You,2,LSM1996,2
National Cheng Kung University,C530900,Animal Physiology,4,LSM3262,4
National Cheng Kung University,C531700,Microbiology,4,LSM3232,4
National Cheng Kung University,L555400,Behavioral Biology: Mechanisms and Functions in Theory and Applications,3,LSM3267,4
National Cheng Kung University,L581200,Genomics,3,LSM3252,4
National Chiao Tung University,IBT5574,Evolutionary Biology,3,LSM3252,4
National Taiwan University,001,"Biodiversity, Agriculture and Culture of Taiwan (BACT)",4,LSM3991,4
National Taiwan University,AGEC5038,The Impact and Adaptation of Climate Change,2,LSM3272,4
National Taiwan University,AGRON1013,Hand‐on Experience of Field Life,1,LSM1996,2
National Taiwan University,ANISCI2018,Rare Animals and Birds Science,3,LSM3991,4
National Taiwan University,ANISCI3031,Animal Environmental Physiology,2,LSM3262,4
National Taiwan University,ANISCI5028,Agriculture of Taiwan,2,LSM3991,4
National Taiwan University,BCHEM8021,Experimental Molecular Biophysics,3,LSM3243,4
National Taiwan University,BSE2029,General Ecology,3,LSM2251,4
National Taiwan University,BSE5071,Climate Change and Environmental Ecology,3,LSM3272,4
National Taiwan University,BST5035,Applied Microbiology and Biotechnology,2,LSM3242,4
National Taiwan University,EEB5054,Intertidal Ecology: A Field Study Approach,4,LSM3991,4
National Taiwan University,EEB5003,Animal Behavior,3,LSM3267,4
National Taiwan University,EEB5039,Behavioral Biology,3,LSM3267,4
National Taiwan University,EEB5085,Vegetation Ecology,2,LSM2991,4
National Taiwan University,ENT3003,Ecology,3,LSM3255,4
National Taiwan University,ENT4002,Insect Conservation,3,LSM3991,4
National Taiwan University,ENT4009,Insects and the Life of Mankind,2,LSM2991,4
National Taiwan University,ENT5032,Special Topics on Insect Ecology,2,LSM3265,4
National Taiwan University,FOREST5035,Exploring Taiwan: Natural Environment and Resources,4,LSM3991,4
National Taiwan University,FOREST4002,Bird Ecology and Conservation,3,LSM3266,4
National Taiwan University,FOREST5024,Introduction to Terrestrial Biogeochem‐istry,3,LSM3255,4
National Taiwan University,HORT3009,Deciduous Fruits (II),4,LSM3991,4
National Taiwan University,HORT3008,Deciduous Fruits (I),3,LSM3256,4
National Taiwan University,IMMUNO7021,Basic Immunology,2,LSM3223,4
National Taiwan University,LIBEDU1070,The Organisms that Changed the History (II),3,LSM1991,4
National Taiwan University,LIBEDU1066,The Organisms that Changed the History,3,LSM1991,4
National Taiwan University,LIBEDU1069,Biology in the Movies,2,LSM1991,4
National Taiwan University,LS7011,Seminar in Developmental Biology,4,LSM3233,4
National Taiwan University,LS1042,The Exploration of Life,3,LSM1991,4
National Taiwan University,LS3014,Animal Physiology,3,LSM3262,4
National Taiwan University,LS5019,Early Developmental Embryology,2,LSM3233,4
National Taiwan University,LS5080,Genomics,3,LSM3252,4
National Taiwan University,MCB5014,Genomics,3,LSM3252,4
National Taiwan University,OCEAN5083,Basic in Theoretical Evolutionary Ecology,3,LSM3991,4
National Taiwan University,OCEAN5089,Exploring the Deep Sea,4,LSM3991,4
National Taiwan University,OCEAN5054,Basics in Theoretical Ecology,3,LSM2991,4
National Taiwan University,OCEAN5097,Coral Reef Ecosystem in a Changing World,3,LSM3991,4
National Taiwan University,PHARM3001,Pharmacology,2,LSM3211,4
National Tsing Hua University,DMS274100,Neurobiology,2,LSM3215,4
National Tsing Hua University,DMS370700,Pharmacology,2,LSM3211,4
National Tsing Hua University,LS414300,Ecology,3,LSM3991,4
National Tsing Hua University,LS473200,Immunology,3,LSM3223,4
National Tsing Hua University,MS413300,An Introduction to Life Science and Engineering,3,LSM2991,4
Newcastle University,BIO1005,Evolution,10,LSM3252,4
Newcastle University,BIO2017,Microbiology 2,10,LSM3232,4
Newcastle University,BIO2008,Evolutionary and poplation genetices,5,LSM3252,4
Newcastle University,BIO2028,"Biodiversity, Ecology and Conservation",20,LSM3991,4
Newcastle University,BMS2011,The Nervous System and Respiratory Diseases,20,LSM3215,4
Newcastle University,BMS2013,Practical and Presentational Skills in Biomedical Sciences,10,LSM3991,4
Newcastle University,BMS2012,Clinical Ummunology and Viral Pathogens,20,LSM3991,4
Newcastle University,CMB2007,Human Anatomy,10,LSM2212,4
Newcastle University,PED1003,Pharmacology,15,LSM3211,4
Newcastle University,PSC1002,Physiology,15,LSM3214,4
Northwestern University,BIOLSCI304,Developmental Neurobiology,1,LSM3216,4
Northwestern University,BIOLSCI306,Fundamentals of Neurobiology II,1,LSM3991,4
Northwestern University,BIOLSCI306‐0,Fundamentals of Neurobiology II,1,LSM3216,4
Northwestern University,BIOLSCI309‐0,Concepts and Logic in Biochemistry,1,LSM3991,4
Northwestern University,BIOLSCI315‐0,Advanced Cell Biology,1,LSM4232,4
Northwestern University,BIOLSCI323,Bioinformatics: Sequence & Structure Analysis,1,LSM2241,4
Northwestern University,BIOLSCI327,Biology of Aging,1,LSM3217,4
Northwestern University,BIOLSCI341‐0,Population Genetics,1,LSM3991,4
Northwestern University,BIOLSCI358‐0,Physiology Laboratory,1,LSM3991,4
Northwestern University,BIOLSCI378,Functional Genomics,1,LSM4241,4
Norwegian University of Science & Technology (NTNU),BI2033,Population Ecology,7.5,LSM3991,4
Norwegian University of Science & Technology (NTNU),BI2034,Community Ecology and Eco System,7.5,LSM3255,4
Norwegian University of Science & Technology (NTNU),BI2044,Ethology,7.5,LSM3267,4
Norwegian University of Science & Technology (NTNU),BI2045,Communication and Reproduction,7.5,LSM3991,4
Norwegian University of Science & Technology (NTNU),BI2060,Marine Ecology,7.5,LSM2991,4
Norwegian University of Science & Technology (NTNU),BI3040,Behavioural Ecology,7.5,LSM3267,4
Norwegian University of Science & Technology (NTNU),BI3082,Biodiversity and Conservation Biology II,7.5,LSM3991,4
Norwegian University of Science & Technology (NTNU),BI3084,Conservation Biology,7.5,LSM3991,4
Norwegian University of Science & Technology (NTNU),TEP4300,Climate Change Mitigation,7.5,LSM3991,4
Norwegian University of Science & Technology (NTNU),BI3082,Biodiversity and Conservation Biology II,7.5,LSM4262,4
Pennsylvania State University,BIOL110,Biology: Basic Concepts and Biodiversity,4,LSM1301,4
Pennsylvania State University,BIOL155,Introduction to the Biology of Aging,3,LSM3217,4
Pennsylvania State University,BIOL220M,Honors Biology: Populations and Communities,4,LSM2251,4
Pennsylvania State University,BIOL409,Biology of Aging,3,LSM3217,4
Pennsylvania State University,BIOL427,Evolution,3,LSM3252,4
Pennsylvania State University,BIOL430,Developmental Biology,3,LSM3233,4
Pennsylvania State University,ENT313,Entomology,3,LSM3265,4
Pennsylvania State University,FRNSC413,Criminalistics: Biology,3,LSM3991,4
Pennsylvania State University,KINES350,Exercise Physiology,3,LSM3991,4
Pohang Uni of Sci & Technology,CHEB469E,Introduction to Synthetic biology,3,LSM3991,4
Pohang Uni of Sci & Technology,EVSE590,Bioremediation Engineering,3,LSM3264,4
Pohang Uni of Sci & Technology,LIFE216,Physiology,3,LSM3991,4
Pohang Uni of Sci & Technology,LIFE217,Cell Biology,3,LSM2233,4
Pohang Uni of Sci & Technology,LIFE218,The Principles of Life Science,3,LSM2991,4
Pohang Uni of Sci & Technology,LIFE303,Microbiology,3,LSM3232,4
Pohang Uni of Sci & Technology,LIFE310,Immunology,3,LSM3223,4
Pohang Uni of Sci & Technology,LIFE312,Cell Biology,3,LSM3991,4
Pohang Uni of Sci & Technology,LIFE313,Physiology,3,LSM3212,4
Pohang Uni of Sci & Technology,LIFE313,Physiology,3,LSM3214,4
Pohang Uni of Sci & Technology,LIFE315,Genetics,3,LSM3991,4
Pohang Uni of Sci & Technology,LIFE321,Molecular Biology,3,LSM3991,4
Pohang Uni of Sci & Technology,LIFE414,Systems Biology,3,LSM3991,4
Pohang Uni of Sci & Technology,LIFE416,Biotechnology,3,LSM3991,4
Pohang Uni of Sci & Technology,LIFE417,Developmental Biology,3,LSM3233,4
Pohang Uni of Sci & Technology,LIFE419,An Introduction to Brain & Behavior,3,LSM3215,4
Pohang Uni of Sci & Technology,LIFE451S,Molecular Evolution,3,LSM3252,4
Pohang Uni of Sci & Technology,LIFE619,Bioinformatics,3,LSM3241,4
Pohang Uni of Sci & Technology,LIFE622C,Platform Tech & Biz. Strat. for Bio‐Indus.,3,LSM3991,4
Purdue University,ANSC30300,Animal Behaviour,3,LSM3267,4
Purdue University,ANSC40400,Animal Welfare,3,LSM3991,4
Purdue University,BIOL32800,Principles of Physiology,4,LSM3262,4
Purdue University,BIOL48300,Great Issues: Environmental And Conservation Biology,3,LSM3272,4
Purdue University,BIOL31200,Great Issues Genomics and Society,3,LSM3991,4
Purdue University,BIOL35000,Introduction to Plant Physiology,4,LSM3991,4
Purdue University,BIOL49300,Introduction to Ethology,3,LSM3267,4
Purdue University,BTNY30200,Plant Ecology,3,LSM3255,4
Purdue University,ENTM21000,Introduction to Insect Behaviour,3,LSM1991,4
Purdue University,ENTM22810,Forensic Investigation,4,LSM2991,4
Purdue University,ENTM35100,Bee Biology and Bee Keeping,3,LSM3991,4
Purdue University,FNR25100,"Ecology And Systematics Of Amphibians, Reptiles, And Birds",4,LSM3991,4
Purdue University,FNR10300,Introduction to Environmental Conservation,3,LSM1991,4
Purdue University,FNR24000,Wildlife in America,3,LSM2991,4
Purdue University,FNR44700,Vertebrate Population Dynamics,4,LSM3991,4
Queen's University of Kingston,BIOL350,Evolution and human affairs,3,LSM3252,4
Queen's University of Kingston,MICR360,Immunology,3,LSM3223,4
Queen's University of Kingston,NSCI323,Cellular Neuroscience,3,LSM3215,4
Queen's University of Kingston,PATH310,Pathology and Molecular Medicine,3,LSM3224,4
Queen's University of Kingston,PHAR340,Principles of General Pharmacology I,3,LSM3211,4
Radboud University Nijmegen,NWI‐BB019B,Immunology,6,LSM3223,4
Radboud University Nijmegen,NWI‐BB084B,Molecular Principles of Development,6,LSM3233,4
Radboud University Nijmegen,NWI‐MOL053,Pharmacochemistry,6,LSM3211,4
Radboud University Nijmegen,NWI‐BB028B,History of Biology,3,LSM1996,2
Rice University,BIOC220,Forensic Biology and Criminalistics,3,LSM1306,4
Royal Institute of Technology (KTH),BB1300,Cultivation Technology,7.5,LSM3991,4
Royal Institute of Technology (KTH),BB2010,Environmental Toxicology,9,LSM3991,4
Royal Institute of Technology (KTH),BB2020,Molecular Enzymology,7.5,LSM3991,4
Royal Institute of Technology (KTH),BB2410,Molecular Biotechnology for Nanotechnology,7.5,LSM3991,4
Royal Institute of Technology (KTH),BB2420,Glycobiology and Carbohydrate Technology,7.5,LSM3991,4
Royal Institute of Technology (KTH),BB2445,The Immune System in Health and Disease,6,LSM3223,4
Royal Institute of Technology (KTH),BB2471,Genetics,5,LSM3252,4
Royal Institute of Technology (KTH),BB2510,Proteomics,6,LSM3991,4
Royal Institute of Technology (KTH),BB2160,Structure Biology,7.5,LSM4231,4
Royal Institute of Technology (KTH),MJ1508,Ecology and Environmental Effects,7.5,LSM3272,4
Rupert Charles University of Heidelberg,130000201611505,"Chaotic, Complex and Evolving Environmental Systems",8,LSM2991,4
Rupert Charles University of Heidelberg,130000201611505,"Chaotic, Complex and Evolving Environmental Systems",8,LSM3991,4
Rupert Charles University of Heidelberg,LSF#103708,"Transformation, transfection, infection,",4,LSM3242,4
Rupert Charles University of Heidelberg,LSF#121561,Milestones in Immunology:from first vaccines to modern molecular biology,4,LSM3223,4
Rupert Charles University of Heidelberg,LSF#124095,Molecular and genetic basis of neuro‐psychiatric diseases,4,LSM3224,4
Rupert Charles University of Heidelberg,LSF#138985,Evolutionary Aspects of Development Genetics,4,LSM3252,4
Rupert Charles University of Heidelberg,LSF#168885,"Protein bioinformatics: modules, interactions and how macromolecules get together",4,LSM3991,4
Rupert Charles University of Heidelberg,LSF#172348,Metabolic Regulation,4,LSM3214,4
Rupert Charles University of Heidelberg,LSF#89666,Recent Publications in Developmental Neurobiology,4,LSM3233,4
Rupert Charles University of Heidelberg,LSF#92231,Molecular Microbiology,4,LSM3232,4
Rupert Charles University of Heidelberg,LSF#97361,The RNA world or the emerging world of RNAs,4,LSM3245,4
Rupert Charles University of Heidelberg,SPF#89298,Basic Immunology,4,LSM3991,4
Seoul National University,34.029,Biology,3,LSM1301,4
Seoul National University,038.028,Biology 2,3,LSM3991,4
Seoul National University,47.001,Biological Evolution,3,LSM3252,4
Seoul National University,300.312,Biochemistry 1,3,LSM3991,4
Seoul National University,300.313,Biochemistry 2,3,LSM3991,4
Seoul National University,494.601,Drug Delivery System,3,LSM3991,4
Seoul National University,494.614,Pathophysiology of Human Diseases,3,LSM3224,4
Seoul National University,494.618,Immune System Disorder,3,LSM3991,4
Seoul National University,719.433,Environment & Education,3,LSM3991,4
Seoul National University,3346.204,Biodiversity and Environment,3,LSM2251,4
Seoul National University,3346.331,Plants and Climate,3,LSM3272,4
Seoul National University,3346.409,Introduction to Animal Behavior,3,LSM3267,4
Seoul National University,3346.409,Introduction to Animal Behavior,3,LSM1303,4
Seoul National University,3346.41,Environmental Biology,3,LSM3264,4
Seoul National University,3346.416,Human Evolution and Ecology,3,LSM3991,4
Seoul National University,5172.204,Plant Growth and Development,3,LSM1991,4
Seoul National University,5192.35,Clinical Plant Pathology & Lab.,3,LSM3991,4
Seoul National University,300310,Genetics,3,LSM3991,4
Seoul National University,300.401A,Introduction to Marine Drugs,3,LSM3991,4
Seoul National University,5192.359A,Insect Physiology and Biochemistry,3,LSM3265,4
Seoul National University,5252.310A,Animal Immunology & Lab,3,LSM3223,4
Shanghai Jiao Tong University,BI211,Microbiology,3,LSM3232,4
Shanghai Jiao Tong University,BI212,Microbiology,3,LSM3232,4
Shanghai Jiao Tong University,BI326,Cell Engineering,4,LSM2991,4
Shanghai Jiao Tong University,BI419,Developmental Biology,2,LSM3233,4
Shanghai Jiao Tong University,BI428,Biophysics,2,LSM3243,4
Shanghai Jiao Tong University,BM204,Understanding Cancer,4,LSM2991,4
Shanghai Jiao Tong University,SP182,Mystery and  health problems of the Brain,2,LSM3991,4
Simon Fraser University,BISC305,Animal Physiology,3,LSM3212,4
Simon Fraser University,BISC333,Developmental Biology,3,LSM3233,4
Simon Fraser University,BISC405,Neurobiology,3,LSM3215,4
Simon Fraser University,BISC410,Behavioral Ecology,3,LSM3267,4
Simon Fraser University,BPK305,HUMAN PHYSIOLOGY 1,3,LSM3212,4
Simon Fraser University,BPK306,HUMAN PHYSIOLOGY 2,3,LSM3214,4
Simon Fraser University,HSCI321,Human Pathophysiology,3,LSM3224,4
Simon Fraser University,HSCI323,PRINCIPLES OF PHARMACOLOGY AND TOXICOLOGY,3,LSM3211,4
Simon Fraser University,HSCI426,IMMUNE SYSTEM 1: BASIS OF INNATE AND ADAPTIVE IMMUNITY,4,LSM3223,4
Simon Fraser University,MBB324,Protein Biochemistry,3,LSM3231,4
Stockholm University,BL4020,Biological Statistics II,7.5,LSM3991,4
Stockholm University,BL5029,Anatomy and function,15,LSM3991,4
Stockholm University,BL4003,Immunology,4,LSM3223,4
Stockholm University,BL4009,Developmental Biology,7.5,LSM3233,4
Stockholm University,BL4014,Developmental Biology and Evolution,4,LSM3233,4
Stockholm University,BL4020,Biological Statistics II,7.5,LSM3991,4
Stockholm University,BL5003,Tropical Marine Biology,7.5,LSM4261,4
Stockholm University,BL5006,Evolution and Comparative Genomics,4,LSM3252,4
Stockholm University,BL5011,The Baltic Sea Environment,4,LSM3991,4
Stockholm University,BL5012,Ecotoxicology,4,LSM3991,4
Stockholm University,BL5013,Ethology I,4,LSM3991,4
Stockholm University,BL5016,The Role of Plant Physiology in Society,15,LSM3991,4
Stockholm University,BL5023,Molecular Genetics,7.5,LSM3991,4
Stockholm University,BL5029,Zoology ‐ Anatomy and Function,15,LSM3991,4
Stockholm University,BL7019,Plants in Environmental Treatment,4,LSM3991,4
Stockholm University,BL7026,Cancer Biology,4,LSM3991,4
Stockholm University,BL8017,Evolutionary Ecology,7.5,LSM3252,4
Stockholm University,KN1001,The Biochemistry of the Brain,2,LSM1991,4
Stockholm University,KN7003,Recombinant Peptides and Proteins,4,LSM3231,4
Swiss Federal Ins Tec Lausanne,BIOENG‐448,Fundamentals of Neuroengineering,4,LSM3991,4
Swiss Federal Ins Tec Lausanne,BIO‐366,Statistical population genetics,4,LSM3265,4
Swiss Federal Ins Tec Lausanne,BIO‐382,Neuroscience for Engineers,3,LSM3215,4
Swiss Federal Ins Tec Lausanne,BIO‐465,Biological modeling of neural networks,4,LSM3215,4
Swiss Federal Ins Tec Lausanne,BIO‐478,Pharmacology and pharmacokinetics,5,LSM3211,4
Technical Uni of Munich,WZ0022,Human and Animal Physiology,6,LSM3214,4
Technical Uni of Munich,WZ1629,Cell and Molecular biotech,5,LSM3245,4
Technical Uni of Munich,WZ1631,Bioinformatics,5,LSM3241,4
Technical Uni of Munich,WZ2066,Method for analysis of next generation sequencing data,5,LSM3991,4
Technical Uni of Munich,WZ2410,Immunology I,5,LSM3223,4
Technical Uni of Munich,WZ2490,Lecture Neurogene cs II: The Pathoe ology of the neurological and psychiatric diseases,3,LSM3216,4
Technical Uni of Munich,WZ2522,General Pharmacology for Students of Biological Sciences,3,LSM3211,4
Technical Uni of Munich,WZ2575,Terrestrial ecology 1,5,LSM3255,4
Technical Uni of Munich,WZ2599,Analysis of High‐Throughput Datasets for Biologists,4,LSM3991,4
Technical Uni of Munich,WZ2625,Applied Microbiology,5,LSM3232,4
Technical Uni of Munich,WZ2641,Microbiology,6,LSM3232,4
Technical Uni of Munich,WZ2643,Physiology and Functional Anatomy I,3,LSM3214,4
Technical Uni of Munich,WZ2662,Modern topics in evolutionary biology,5,LSM3252,4
Technical Uni of Munich,WZ3207,Nutrition and Microbe‐Host Interactions,5,LSM3991,4
Technical Uni of Munich,WZ3210,Disease Pathologies and Nutrition,5,LSM3224,4
Technical University of Denmark,25105,Ecology,5,LSM2251,4
Technical University of Denmark,27008,Life Science,5,LSM1991,4
Technical University of Denmark,27042,"Introduction to Systems Biology, June version",5,LSM2991,4
Technical University of Denmark,27250,Molecular medical microbiology,5,LSM3225,4
Technical University of Denmark,27301,Advanced biochemistry,10,LSM3243,4
Technical University of Kaiserslautern,PlantEcologyI,Master Ecology and Microbial,6,LSM3991,4
Technical University of Kaiserslautern,T3,Applied Microbiology and Pathogenesis,6,LSM3991,4
The Uni of British Columbia,APBI260,Agroecology I,6,LSM2991,4
The Uni of British Columbia,BIOL230,Fundamental of Ecology,3,LSM2251,4
The Uni of British Columbia,BIOL306,Advanced Ecology,3,LSM3991,4
The Uni of British Columbia,BIOL310,Introduction to Animal Behaviour,3,LSM1303,4
The Uni of British Columbia,BIOL310,Introduction to Animal Behaviour,3,LSM3267,4
The Uni of British Columbia,BIOL327,Introduction to Entomology,3,LSM3265,4
The Uni of British Columbia,BIOL331,Developmental Biology,3,LSM3233,4
The Uni of British Columbia,BIOL336,The Fundamentals of Evolutionary Biology,3,LSM3252,4
The Uni of British Columbia,BIOL343,Plants and Peoples,3,LSM3991,4
The Uni of British Columbia,BIOL361,"Physiology of Sensory, Nervous and Muscular Systems",3,LSM3215,4
The Uni of British Columbia,BIOL364,Animal Physiology,3,LSM3262,4
The Uni of British Columbia,BIOL402,Aquatic Ecosystems and Fish,3,LSM3254,4
The Uni of British Columbia,BIOL416,Principles of Conservation Biology,3,LSM3272,4
The Uni of British Columbia,BIOL418,Evolutionary Ecology,3,LSM3252,4
The Uni of British Columbia,BIOL427,Ornithology and Herpetology,3,LSM3266,4
The Uni of British Columbia,BIOL455,Comparative Neurology,3,LSM3215,4
The Uni of British Columbia,BIOL458,Developmental Neurobiology,3,LSM3216,4
The Uni of British Columbia,BIOL459,Neurobiology of sensory and motor systems,3,LSM3215,4
The Uni of British Columbia,BIOL325,Introduction to Animal Mechanics and Locomotion,3,LSM3991,4
The Uni of British Columbia,BIOL328,Introductory Parasitology,3,LSM3991,4
The Uni of British Columbia,CAPS422,Mammalian Cardiovascular and Respiratory Physiology,3,LSM3212,4
The Uni of British Columbia,CAPS423,Mammalian Renal and Gastrointestinal Physiology,3,LSM3214,4
The Uni of British Columbia,CAPS424,Mammalian Endocrinology,3,LSM3214,4
The Uni of British Columbia,CONS101,Introduction to Conservation,1,LSM1996,2
The Uni of British Columbia,CONS200,Foundations of Conservation,3,LSM2991,4
The Uni of British Columbia,EOSC315,The Ocean Ecosystem,3,LSM3991,4
The Uni of British Columbia,EOSC340,Global Climate Change,3,LSM3272,4
The Uni of British Columbia,EOSC372,Introductory Oceanography: Circulation and Plankton,3,LSM3991,4
The Uni of British Columbia,EOSC474,Marine Pollution,3,LSM3991,4
The Uni of British Columbia,EOSC478,Introduction to Fisheries Science,3,LSM3991,4
The Uni of British Columbia,FRST303,Principles of Forest Science,3,LSM3991,4
The Uni of British Columbia,FRST395,Forest Wildlife Ecology and Management,3,LSM3991,4
The Uni of British Columbia,MEDICINEC2,Introduction to Anatomy using a Hands‐on Approach,4,LSM2212,4
The Uni of British Columbia,SummerProgramme,Introduction to Medical Laboratory Science,6,LSM2991,4
The Uni of British Columbia,SummerProgramme,Fundamental Techniques for Clinical and Medical Research Laboratories,6,LSM2991,4
The Uni of British Columbia,MICB201,Introductory Environmental Microbiology,3,LSM3232,4
The Uni of British Columbia,MICB302,Immunology,3,LSM3223,4
The Uni of British Columbia,MICB405,Bioinformatics,3,LSM2241,4
The Uni of British Columbia,SummerProgramme,Marine Biodiversity,3,LSM3991,4
The Uni of British Columbia,SummerProgramme,Personalising Medicine with Genomics & Biotechnology,3,LSM3991,4
The Uni of British Columbia,SummerProgramme,Personalizing Medicines with Genomics and Biotechnology,3,LSM1401,4
The Uni of British Columbia,PHYL422,Mammalian Cardiovascular and Respiratory Physiology,3,LSM3212,4
The Uni of British Columbia,SummerProgramme,Introduction to Clinical Medicine at the Bedside,3,LSM2991,4
The Uni of British Columbia,SummerProgramme,Introduction to Clinical Research in the Sciences,3,LSM2991,4
The Uni of British Columbia,SummerProgramme,Principles of Body Structure and Function,3,LSM2212,4
The Uni of British Columbia,SummerProgramme,Applied Neuroanatomy,3,LSM3215,4
The Uni of British Columbia,SummerProgramme,Clinical Exercise Physiology,3,LSM2991,4
The Uni of British Columbia,SummerProgramme,Introduction to the Science Behind the Mind (Psychiatry),3,LSM2991,4
The Uni of British Columbia,SummerProgramme,Applied Neuroanatomy,3,LSM3222,4
The Uni of British Columbia,UFOR100,Greening the City,3,LSM1991,4
The Uni of New South Wales,ANAT2341,Embryology: Early and Systematic Development,6,LSM3233,4
The Uni of New South Wales,BABS3021,Microbial Genetics,6,LSM3991,4
The Uni of New South Wales,BABS3041,Immunology 1,6,LSM3223,4
The Uni of New South Wales,BABS3291,"Genes, Genomes and Evolution",6,LSM3252,4
The Uni of New South Wales,BIOC3111,Molecular Biology of Proteins,6,LSM3231,4
The Uni of New South Wales,BIOS2061,Vertebrate Zoology,6,LSM2991,4
The Uni of New South Wales,BIOS3011,Animal Behaviour,6,LSM3267,4
The Uni of New South Wales,BIOS3091,Marine and Aquatic Ecology,6,LSM3254,4
The Uni of New South Wales,BIOS3123,Conservation in Practice,6,LSM3991,4
The Uni of New South Wales,BIOS3171,Evolution,6,LSM3252,4
The Uni of New South Wales,BIOS3671,Biodiversity & Conservation: Natural Resources Adv,6,LSM4262,4
The Uni of New South Wales,BIOS6692,Advanced Underwater Field Ecology,6,LSM3991,4
The Uni of New South Wales,BIOS6671,Biodiversity and Conservation of Natural Resources,6,LSM4262,4
The Uni of New South Wales,GEOS2071,Life through time,6,LSM2991,4
The Uni of New South Wales,GEOS3733,Environmental Geophysics,6,LSM3991,4
The Uni of New South Wales,MICR2011,Microbiology 1,6,LSM2291,4
The Uni of New South Wales,MSCI0501,The Marine Environment,6,LSM4261,4
The Uni of New South Wales,MSCI2001,Introductory Marine Science,6,LSM2991,4
The Uni of New South Wales,NEUR3221,Neurophysiology,6,LSM3215,4
The Uni of New South Wales,NEUR2201,Neuroscience Fundamentals,6,LSM2991,4
The Uni of New South Wales,PATH3205,Molecular Basis of Inflammation and Infection,6,LSM3224,4
The Uni of New South Wales,PATH2201,Processes in Diseases,6,LSM2991,4
The Uni of New South Wales,PHAR2011,Introductory Pharmacology and Toxicology,6,LSM3211,4
The Uni of New South Wales,PHAR3102,Molecular Pharmacology,6,LSM3211,4
The Uni of New South Wales,PHSL3211,Cardiovascular Physiology and Pathophysiology,6,LSM3212,4
The Uni of New South Wales,PHSL3221,"Endocrine, Reproductive Developmental Physiology",6,LSM3214,4
The Uni of New South Wales,VISN2231,Introduction to Ocular Disease,6,LSM2991,4
Uni N Carolina at Chapel Hill,BIOL202,Genetics and Molecular Biology,3,LSM1102,4
Uni N Carolina at Chapel Hill,BIOL251‐251L,Introduction to Human Anatomy and Physiology,3,LSM2212,4
Uni N Carolina at Chapel Hill,BIOL252,Anatomy and Physiology (Lec),3,LSM2212,4
Uni N Carolina at Chapel Hill,BIOL252‐252L,Anatomy and Physiology,3,LSM2212,4
Uni N Carolina at Chapel Hill,BIOL273,Horticulture,3,LSM3256,4
Uni N Carolina at Chapel Hill,BIOL278‐278L,Animal Behavior,3,LSM1303,4
Uni N Carolina at Chapel Hill,BIOL321,Introduction to Immunology,3,LSM3223,4
Uni N Carolina at Chapel Hill,BIOL324,Molecular Basis of Disease,3,LSM3224,4
Uni N Carolina at Chapel Hill,BIOL402,Infectious Disease in the Developing World,3,LSM3991,4
Uni N Carolina at Chapel Hill,BIOL422,Microbiology (Lec),3,LSM3232,4
Uni N Carolina at Chapel Hill,BIOL422‐422L,Microbiology,3,LSM3232,4
Uni N Carolina at Chapel Hill,BIOL426,Biology of Blood Diseases,3,LSM3224,4
Uni N Carolina at Chapel Hill,BIOL431,Biological Physics,3,LSM3243,4
Uni N Carolina at Chapel Hill,BIOL436,"Plant Genetics, Development, and Biotechnology",3,LSM3991,4
Uni N Carolina at Chapel Hill,BIOL439,Introduction to Signal Transduction,3,LSM4244,4
Uni N Carolina at Chapel Hill,BIOL441,Vertebrate Embryology,3,LSM3233,4
Uni N Carolina at Chapel Hill,BIOL441,Vertebrate Embryology,3,LSM4252,4
Uni N Carolina at Chapel Hill,BIOL443,Developmental Biology,3,LSM3233,4
Uni N Carolina at Chapel Hill,BIOL444,Molecular Basis of Disease,3,LSM3224,4
Uni N Carolina at Chapel Hill,BIOL445,Cancer Biology,3,LSM4243,4
Uni N Carolina at Chapel Hill,BIOL446,Unsolved Problems in Cell Biology,3,LSM3991,4
Uni N Carolina at Chapel Hill,BIOL448,Advanced Cell Biology,3,LSM4232,4
Uni N Carolina at Chapel Hill,BIOL449,Introduction to Immunology,3,LSM3223,4
Uni N Carolina at Chapel Hill,BIOL450,Introduction to Neurobiology,3,LSM3215,4
Uni N Carolina at Chapel Hill,BIOL451,Comparative Physiology,3,LSM3262,4
Uni N Carolina at Chapel Hill,BIOL451‐451L,Comparative Physiology,3,LSM3262,4
Uni N Carolina at Chapel Hill,BIOL453,Animal Societies and Communication,3,LSM3267,4
Uni N Carolina at Chapel Hill,BIOL454,Evolutionary genetics,3,LSM3252,4
Uni N Carolina at Chapel Hill,BIOL455,Behavioral Neuroscience,3,LSM3215,4
Uni N Carolina at Chapel Hill,BIOL455,Behavioral Neuroscience,3,LSM4213,4
Uni N Carolina at Chapel Hill,BIOL462,Marine Ecology,3,LSM4261,4
Uni N Carolina at Chapel Hill,BIOL464,Global Change Ecology,3,LSM3272,4
Uni N Carolina at Chapel Hill,BIOL469,Behavioral Ecology,3,LSM3267,4
